1,Mr,,,
2,Mrs,,,
3,Miss,,,
4,Ms,,,
5,Dr,,,
6,Professor,,,
7,The Rt Revd Dr,,,
8,The Most Revd,,,
9,The Rt Revd,,,
10,The Revd Canon,,,
11,The Revd,,,
12,The Rt Revd Professor,,,
13,The Ven,,,
14,The Most Revd Dr,,,
15,Rabbi,,,
16,Canon,,,
17,Dame,,,
18,Chief,,,
19,Sister,,,
20,Reverend,,,
21,Major,,,
22,Other,,,
23,Cllr,,,
24,Sir,,,
25,Rt Hon Lord,,,
26,Rt Hon,,,
27,The Lord ,,,
28,Viscount,,,
29,Viscountess,,,
30,Baroness,,,
31,Captain,,,
32,Master,,,
33,Very Revd,,,
34,Lady,,,
35,MP,,,
36,King of Kings and Lord of Lords,,,
37,Conquering Lion of the Tribe of Judah,,,
38,Elect of God and Light of this World,,,
39,His Own Divine Majesty,,,
40,First Ancient King of Creation,,,
41,King Alpha,,,
42,Queen Omega,,,
43,Beginning with Our End and First with Our Last,,,
44,Protector of All Human Faith,,,
45,Ruler of the Universe,,,
46,Dude,,,
47,Mx (gender-netural),,,
48,His Holiness,,,
49,Her Holiness,,,
50,Lackey,,,
51,Mother of Dragons,,,
52,First of His Name, King of the Andals and the First Men, Lord of the Seven Kingdoms, and Protector of the Realm